GOLDA;Silver;platinu;Palla;Date
4784,4;58,7;2183,31;5677,62;31.10.2020 0:00
4759,17;60,67;2195,94;5662,27;30.10.2020 0:00
4729,52;60,93;2179,19;5812,01;29.10.2020 0:00
4667,69;59,68;2145,92;5813,41;28.10.2020 0:00
4673,64;60,85;2189,85;;27.10.2020 0:00
4697,13;60,87;;5853,59;24.10.2020 0:00
4750,35;61,74;2210,56;5957,61;23.10.2020 0:00
4752,55;61,97;2169,54;5943,94;22.10.2020 0:00
4767,05;61,59;2138,03;5876,45;21.10.2020 0:00
4785,15;62,23;2184,64;5874,97;20.10.2020 0:00
4783,12;61,06;;5883,02;17.10.2020 0:00
4740,64;59,98;2142,65;5881,64;16.10.2020 0:00
;60,06;2176,4;;15.10.2020 0:00
4772,77;61,96;2164,25;6003,24;14.10.2020 0:00
4754,14;62,06;2199,02;6067,12;13.10.2020 0:00
4736,09;60,22;2176,86;5968,41;10.10.2020 0:00
4737,92;60,02;2169,37;5931,95;09.10.2020 0:00
4740,23;59,08;2169,26;5925,29;08.10.2020 0:00
4827,56;61,34;2244,03;5926,86;07.10.2020 0:00
4771,68;60,07;2212,96;5814,99;06.10.2020 0:00
4786,39;59,92;;5802,22;03.10.2020 0:00
4709,54;58,68;2233,59;5769,07;02.10.2020 0:00
4770,62;60,1;2208,76;5848,66;01.10.2020 0:00
4822,55;61,06;2239,11;5802,74;30.09.2020 0:00
4681,68;57,9;2157,53;5632,84;29.09.2020 0:00
4618,65;55,89;2116,62;;26.09.2020 0:00
4592,32;55,14;2081,83;5520,96;25.09.2020 0:00
4635,01;57,92;2096,44;5479,23;24.09.2020 0:00
4666,73;59,59;;5559,07;23.09.2020 0:00
4720,43;64,44;2261,33;5737,66;22.09.2020 0:00
;65,28;2274,83;5659,33;19.09.2020 0:00
4680,61;64,66;2299,08;5717,49;18.09.2020 0:00
4733,17;65,96;2363,21;5721,33;17.09.2020 0:00
4746,61;66,59;2332,75;;16.09.2020 0:00
4665,67;64,58;2258,01;5582,56;15.09.2020 0:00
4681,88;;2239,21;5547,47;12.09.2020 0:00
4722,48;65,82;2241,28;5563,14;11.09.2020 0:00
4716,38;64,9;2228,08;5517,61;10.09.2020 0:00
4690,71;65,15;2220,06;5646,63;09.09.2020 0:00
4686,6;;2201,86;5589,7;08.09.2020 0:00
4683,5;64,82;2187,53;5518,39;05.09.2020 0:00
4692,8;65,27;2215,26;5566,05;04.09.2020 0:00
4675,61;65,79;2222,64;;03.09.2020 0:00
4703,11;68,34;2247,52;5377,48;02.09.2020 0:00
4644,5;64,9;2206,75;5163,32;01.09.2020 0:00
4693,4;;2231,7;5231,29;29.08.2020 0:00
4689,71;65,9;2256,81;5282,82;28.08.2020 0:00
;64,1;2239,17;;27.08.2020 0:00
4612,67;63,47;2208,77;5188,94;26.08.2020 0:00
4659,72;64,33;2215,55;5191,95;25.08.2020 0:00
4604,75;63,97;2172,72;5193,56;22.08.2020 0:00
4572,94;63,84;2208,14;5146,79;21.08.2020 0:00
4693,26;64,61;2241,67;;20.08.2020 0:00
4733,95;66,87;2294,79;5229,38;19.08.2020 0:00
4574,27;63,14;2240,39;5109,5;18.08.2020 0:00
4586,18;62,86;2224,47;5060,97;15.08.2020 0:00
4569,73;62,12;2224,52;5076,16;14.08.2020 0:00
4548,31;60,77;2208,58;5015,22;13.08.2020 0:00
4695,8;66,51;2239,01;5127,13;12.08.2020 0:00
4815,71;67,05;2305,51;5194,5;11.08.2020 0:00
4880,61;67,07;2305,95;5170,62;08.08.2020 0:00
4811,98;65,48;2294,27;5213,18;07.08.2020 0:00
4793,21;63,48;2245,29;5074,88;06.08.2020 0:00
4653,01;57,4;2177,58;4954,4;05.08.2020 0:00
4704,01;57,77;2160,13;;04.08.2020 0:00
4661,68;56,82;2143,52;4943,31;01.08.2020 0:00
4604,62;54,63;2141,68;4917,85;31.07.2020 0:00
4538,78;56,52;2194,67;5271,85;30.07.2020 0:00
4466,49;54,44;2141,16;5274,28;29.07.2020 0:00
